Transaction ID,Customer ID,Transaction Amount,Payment Method,Product Category,Quantity,Customer Age,Device Used,Account Age (days),Transaction Hour,is_fraud
TR1032,1459,1190.0038496578695,Bank Transfer,Electronics,4,49,0,143,20,1
TR1033,1313,1733.6467988822253,Bank Transfer,Electronics,8,20,0,234,8,0
TR1034,1021,3767.1210293642594,Credit Card,Clothing,6,26,1,260,12,0
TR1035,1252,2128.56057865072,Credit Card,Clothing,5,53,0,324,8,1
TR1036,1747,4188.263894784344,PayPal,Electronics,8,50,1,203,19,0
TR1037,1856,4389.417969222997,PayPal,Clothing,6,23,0,169,23,0
TR1038,1560,1505.6501287574151,Debit Card,Clothing,1,49,0,159,15,1
TR1039,1474,4119.019532865972,Bank Transfer,Clothing,1,35,1,102,9,0
TR1040,1058,779.7787126150988,Bank Transfer,Electronics,6,21,0,318,2,1
TR1041,1510,1677.6415905688768,Debit Card,Books,8,61,1,158,14,0
TR1042,1681,2594.645106095731,Credit Card,Clothing,9,63,1,280,0,1
TR1043,1475,1139.954372898422,Credit Card,Electronics,4,45,1,307,16,0
TR1044,1699,2900.5464695802443,Debit Card,Electronics,7,52,0,97,23,0
TR1045,1975,2897.688442801056,PayPal,Home & Kitchen,9,68,0,306,14,0
TR1046,1782,1042.4454453060196,PayPal,Home & Kitchen,8,51,1,314,23,0
TR1047,1189,3980.250310978429,Bank Transfer,Books,8,51,1,305,15,1
TR1048,1957,3161.9060021633695,PayPal,Home & Kitchen,1,66,0,98,10,1
TR1049,1686,1595.6249290565218,Credit Card,Electronics,6,54,0,80,0,1
TR1050,1957,1168.6020695167567,Debit Card,Home & Kitchen,9,50,0,56,18,0
TR1051,1562,4394.963192784123,Debit Card,Clothing,8,33,1,126,9,1
TR1052,1875,4180.353803671017,Debit Card,Home & Kitchen,2,55,1,51,7,1
TR1053,1566,1156.5057675290764,PayPal,Electronics,5,54,0,137,19,0
TR1054,1243,187.67008031737876,Debit Card,Books,4,61,0,326,8,1
TR1055,1831,4024.617652758188,Debit Card,Books,8,34,0,322,6,1
TR1056,1504,3081.3876907725653,PayPal,Books,9,40,1,175,17,1
TR1057,1130,513.4013199867638,Credit Card,Books,3,28,0,306,11,1
TR1058,1484,2940.9174490322866,Bank Transfer,Clothing,9,68,1,291,23,0
TR1059,1818,2266.3915999548544,Credit Card,Clothing,1,51,1,31,22,0
TR1060,1646,3875.006134093721,PayPal,Clothing,7,42,0,168,6,1
TR1061,1020,1053.3333623720628,Debit Card,Home & Kitchen,8,65,1,296,8,1
TR1062,1840,2271.252154082082,Bank Transfer,Home & Kitchen,6,36,1,311,3,0
TR1063,1166,789.6581301170646,Credit Card,Home & Kitchen,4,25,0,248,7,1
TR1064,1273,4788.060866776124,Bank Transfer,Books,4,21,0,328,9,0
TR1065,1387,3895.903403056569,Credit Card,Books,7,23,0,165,10,0
TR1066,1600,3686.2449082419685,Credit Card,Home & Kitchen,6,41,1,92,4,1
TR1067,1315,3454.131258453802,PayPal,Clothing,4,37,0,147,9,1
TR1068,1013,2122.4488479072447,Credit Card,Electronics,5,20,0,75,0,1
TR1069,1241,4617.179254358693,Debit Card,Home & Kitchen,4,58,0,311,18,1
TR1070,1776,373.8558895157569,PayPal,Electronics,1,40,0,348,11,1
TR1071,1345,4018.26276767797,Bank Transfer,Clothing,4,36,1,326,3,0
TR1072,1564,1084.0113332076062,PayPal,Electronics,6,18,0,122,19,0
TR1073,1897,1626.8994986129017,Credit Card,Books,2,20,0,40,10,0
TR1074,1339,2601.9543475468686,Bank Transfer,Electronics,7,40,1,165,20,1
TR1075,1091,3915.448505167342,Debit Card,Home & Kitchen,9,18,0,59,2,0
TR1076,1366,4194.289189192145,PayPal,Home & Kitchen,2,64,0,364,2,0
TR1077,1955,2922.823928299023,Credit Card,Clothing,7,22,1,182,17,1
TR1078,1454,2021.1470897840793,Bank Transfer,Home & Kitchen,2,45,0,221,18,0
TR1079,1427,4733.047082802018,Debit Card,Electronics,9,65,0,217,11,0
TR1080,1508,1240.141266238448,Debit Card,Books,1,22,0,145,1,1
TR1081,1775,4017.4419336443707,PayPal,Electronics,4,36,0,208,3,1
TR1082,1942,3064.1276110262847,Bank Transfer,Electronics,2,61,1,358,23,0
TR1083,1034,1890.7061342572167,Credit Card,Electronics,1,30,1,61,6,0
TR1084,1205,16.826241974048635,Bank Transfer,Home & Kitchen,2,47,1,275,15,0
TR1085,1080,2238.5305137296477,Debit Card,Clothing,6,25,0,140,16,0
TR1086,1931,1390.8327877360732,Bank Transfer,Home & Kitchen,5,34,1,327,14,0
TR1087,1561,530.6896004945474,PayPal,Electronics,1,42,0,117,6,1
TR1088,1871,385.0412410370434,Bank Transfer,Clothing,3,29,0,240,17,0
TR1089,1387,1744.3160532848938,Bank Transfer,Clothing,6,63,1,111,23,1
TR1090,1001,3077.6393698158363,PayPal,Electronics,5,46,0,204,15,1
TR1091,1389,4189.22138367022,Bank Transfer,Electronics,6,60,0,143,18,1
TR1092,1565,925.9805922871612,PayPal,Home & Kitchen,8,18,0,255,0,0
TR1093,1105,2128.9734168321575,PayPal,Clothing,6,19,0,68,13,0
TR1094,1771,1965.8611393093395,PayPal,Books,5,65,0,298,11,0
TR1095,1821,2571.836105950493,Debit Card,Clothing,4,51,1,199,22,1
TR1096,1476,4049.8404813396687,Bank Transfer,Home & Kitchen,5,50,0,145,18,1
TR1097,1702,2772.689637816182,PayPal,Electronics,9,18,1,180,22,1
TR1098,1401,4234.808018376448,Credit Card,Clothing,6,27,0,330,14,0
TR1099,1729,2597.573262784199,Credit Card,Books,5,35,0,307,7,0
TR1100,1555,3023.1983522545447,Debit Card,Home & Kitchen,8,39,0,217,21,1
TR1101,1161,2192.542380040019,PayPal,Clothing,5,48,1,56,1,0
TR1102,1201,4117.246945675212,PayPal,Home & Kitchen,5,19,1,81,1,0
TR1103,1957,4619.897759759617,Debit Card,Clothing,8,40,1,226,12,1
TR1104,1995,3199.3322432344967,Bank Transfer,Electronics,9,20,0,163,9,0
TR1105,1269,4105.70442137279,PayPal,Books,8,63,0,96,0,0
TR1106,1862,304.4266366555105,PayPal,Electronics,9,61,1,189,8,0
TR1107,1815,4531.497639718821,Credit Card,Clothing,9,41,1,103,19,0
TR1108,1270,952.7360835272317,PayPal,Books,8,42,1,49,6,1
TR1109,1455,1290.0369323557816,Debit Card,Clothing,7,58,1,303,15,0
TR1110,1461,276.1170403516637,Credit Card,Clothing,7,30,1,287,20,1
TR1111,1726,4827.346583700554,Debit Card,Books,1,27,0,42,10,0
TR1112,1251,4261.534138946998,Debit Card,Books,7,23,1,85,2,0
TR1113,1701,4566.7911744145085,PayPal,Home & Kitchen,6,22,1,203,13,1
TR1114,1295,4237.608677122475,Bank Transfer,Books,1,67,1,281,15,0
TR1115,1724,2402.8574580792315,PayPal,Electronics,8,56,0,332,14,1
TR1116,1719,4621.16885111291,Bank Transfer,Books,9,33,0,349,0,0
TR1117,1748,4847.66937393167,Credit Card,Books,2,60,0,137,0,0
TR1118,1337,2517.809214179094,Debit Card,Home & Kitchen,4,38,1,47,11,0
TR1119,1878,886.3676588309025,Debit Card,Electronics,7,59,1,76,13,0
TR1120,1052,3296.526319725841,PayPal,Electronics,1,57,0,99,9,1
TR1121,1791,4877.437066369317,Bank Transfer,Books,8,22,0,69,9,1
TR1122,1921,4362.012830695786,Debit Card,Books,9,50,0,202,4,0
TR1123,1216,4310.457728968078,Debit Card,Home & Kitchen,8,20,0,96,11,1
TR1124,1763,4669.751903868338,Bank Transfer,Electronics,2,32,1,144,14,1
TR1125,1187,4470.82178015721,Debit Card,Electronics,8,27,1,343,20,0
TR1126,1379,3883.6455034512815,Debit Card,Clothing,8,18,1,144,3,0
TR1127,1492,3594.181432487518,Debit Card,Home & Kitchen,2,27,1,139,6,0
TR1128,1040,1331.188196986324,Bank Transfer,Home & Kitchen,9,33,0,150,11,0
TR1129,1156,3110.4867069279617,Bank Transfer,Books,1,48,0,121,19,0
TR1130,1014,2612.2282223123884,Credit Card,Electronics,7,61,1,211,1,1
TR1131,1812,4311.101016989146,Debit Card,Books,2,45,0,38,5,1
TR1132,1064,2463.6457417154593,Debit Card,Home & Kitchen,8,54,0,63,12,0
TR1133,1856,647.4363900780186,Credit Card,Electronics,8,44,1,89,9,1
TR1134,1838,34.81270175852238,Bank Transfer,Electronics,4,28,0,312,3,0
TR1135,1520,3392.5868711386393,Bank Transfer,Home & Kitchen,8,38,0,279,15,0
TR1136,1343,2754.042851764536,PayPal,Electronics,5,54,1,54,7,0
TR1137,1128,1661.504892748657,Bank Transfer,Clothing,9,55,0,135,2,0
TR1138,1647,853.1710286890728,PayPal,Home & Kitchen,1,51,1,112,15,0
TR1139,1471,2338.9094587954714,Credit Card,Home & Kitchen,5,39,0,279,17,0
TR1140,1062,510.4294976697392,Bank Transfer,Electronics,9,27,1,325,2,0
TR1141,1138,1687.181361213504,Credit Card,Home & Kitchen,6,21,0,105,23,1
TR1142,1498,1902.2674121158157,PayPal,Books,4,61,1,321,18,1
TR1143,1592,2333.437287241431,Debit Card,Home & Kitchen,1,22,0,182,8,1
TR1144,1391,2338.4375491808455,Debit Card,Books,6,40,0,90,12,0
TR1145,1674,1292.4581609366435,Credit Card,Clothing,7,33,0,209,12,0
TR1146,1418,4252.5527981939185,Debit Card,Clothing,7,36,1,155,12,0
TR1147,1288,1784.1620962211605,Credit Card,Books,9,32,1,291,14,0
TR1148,1378,1155.6406713736565,PayPal,Home & Kitchen,4,68,1,43,19,0
TR1149,1772,887.2913182188453,Debit Card,Books,4,42,0,36,10,1
TR1150,1489,1619.6661885716446,PayPal,Electronics,5,29,1,247,7,1
TR1151,1230,347.0888860578965,Bank Transfer,Books,9,50,1,191,11,1
TR1152,1040,174.20853967504857,Debit Card,Clothing,2,59,0,65,4,0
TR1153,1027,3029.65956204631,Debit Card,Clothing,4,25,0,148,9,1
TR1154,1134,3099.5442088854584,Debit Card,Books,9,20,0,80,22,0
TR1155,1200,2652.6451311650653,Credit Card,Clothing,6,61,0,104,22,1
TR1156,1839,3813.8031242063043,Bank Transfer,Electronics,6,56,1,238,14,1
TR1157,1779,205.3612159426191,Bank Transfer,Home & Kitchen,7,69,0,136,6,0
TR1158,1929,4680.505809965243,Bank Transfer,Home & Kitchen,5,55,0,262,6,0
TR1159,1032,484.37496505273197,PayPal,Books,4,22,1,188,7,0
TR1160,1047,3373.374742024032,Bank Transfer,Clothing,3,63,0,155,5,1
TR1161,1502,675.6489788146384,Credit Card,Home & Kitchen,2,56,0,273,1,0
TR1162,1406,4400.728112205884,Credit Card,Clothing,7,64,1,218,3,0
TR1163,1573,2558.459301855706,PayPal,Books,5,65,0,183,2,1
TR1164,1727,420.6447696797004,PayPal,Clothing,1,49,1,37,10,0
TR1165,1804,3087.453322373367,Bank Transfer,Electronics,4,40,1,180,17,1
TR1166,1098,55.458619972186256,Bank Transfer,Electronics,9,36,1,252,23,1
TR1167,1683,3882.3506704168203,Credit Card,Clothing,8,44,1,51,20,1
TR1168,1871,3256.419083364156,Credit Card,Electronics,7,38,1,198,22,1
TR1169,1725,1070.9974993239014,Bank Transfer,Books,5,51,0,110,4,1
TR1170,1986,1880.0070717187075,Credit Card,Electronics,1,19,0,214,23,0
TR1171,1546,48.95540549956242,PayPal,Electronics,5,26,0,120,13,1
TR1172,1960,3471.482236706313,Credit Card,Home & Kitchen,8,48,1,316,16,1
TR1173,1738,1620.1140061734989,Bank Transfer,Home & Kitchen,4,49,0,302,6,0
TR1174,1612,2862.228687330629,PayPal,Books,5,27,0,46,11,0
TR1175,1942,4784.07086329317,Credit Card,Electronics,8,53,1,137,0,1
TR1176,1461,1504.338897608449,PayPal,Home & Kitchen,5,42,0,296,23,0
TR1177,1642,4951.287041595719,Bank Transfer,Clothing,4,18,0,241,11,1
TR1178,1768,3167.3146461777565,Credit Card,Clothing,4,39,1,89,5,0
TR1179,1004,1218.0224447646697,Bank Transfer,Electronics,6,22,0,33,20,1
TR1180,1217,2189.521636276076,Debit Card,Books,1,68,1,87,11,0
TR1181,1502,3704.861080694113,Bank Transfer,Electronics,4,50,0,357,15,1
TR1182,1766,2237.9247593385753,Debit Card,Home & Kitchen,1,34,1,273,3,0
TR1183,1397,351.85276103434643,PayPal,Electronics,6,39,1,65,2,0
TR1184,1870,851.3322702988863,PayPal,Electronics,8,36,0,328,19,0
TR1185,1794,3958.575751461888,Debit Card,Clothing,4,52,0,112,7,0
TR1186,1392,3245.381647833126,PayPal,Clothing,8,52,0,305,4,1
TR1187,1206,2853.4291318873475,PayPal,Home & Kitchen,2,61,0,34,16,1
TR1188,1014,846.4336340694525,Bank Transfer,Books,5,36,0,271,7,1
TR1189,1857,4190.409652298194,Debit Card,Books,3,44,0,55,2,0
TR1190,1553,4804.093146835388,Credit Card,Home & Kitchen,7,28,1,207,0,0
TR1191,1891,214.026616478441,PayPal,Home & Kitchen,9,59,0,103,18,1
TR1192,1460,399.37903456273796,PayPal,Electronics,1,45,0,117,22,1
TR1193,1690,4424.775271539678,Credit Card,Electronics,8,27,0,81,9,0
TR1194,1574,4079.60574762032,Bank Transfer,Books,4,52,1,257,23,1
TR1195,1863,3093.4929330013556,Bank Transfer,Electronics,5,35,0,90,15,0
TR1196,1742,4725.376392840828,Bank Transfer,Electronics,1,22,0,148,8,1
TR1197,1240,3235.688584180096,Credit Card,Clothing,5,23,0,118,15,1
TR1198,1563,1087.7665258902216,Bank Transfer,Home & Kitchen,9,39,1,263,2,0
TR1199,1095,3645.9251953473317,PayPal,Home & Kitchen,8,47,0,44,23,1
TR1200,1899,3232.09462028073,Bank Transfer,Clothing,8,35,1,210,10,0
TR1201,1733,4928.8660630300465,PayPal,Clothing,6,62,0,265,10,0
TR1202,1484,1077.3397245102108,Credit Card,Electronics,9,18,0,173,4,1
TR1203,1406,2993.445832449369,Bank Transfer,Home & Kitchen,4,21,0,332,10,1
TR1204,1230,3903.0359359033614,Bank Transfer,Books,6,59,0,93,1,1
TR1205,1748,1701.5256157974723,PayPal,Home & Kitchen,3,65,0,231,20,1
TR1206,1654,1904.601119660206,Credit Card,Books,2,65,0,227,5,0
TR1207,1170,4440.630173258321,Bank Transfer,Clothing,9,41,0,267,6,0
TR1208,1540,2026.9324492483179,Credit Card,Home & Kitchen,5,34,1,137,16,0
TR1209,1035,3127.416930959116,PayPal,Clothing,2,60,0,279,2,1
TR1210,1524,4447.298306258859,PayPal,Home & Kitchen,5,38,0,140,3,0
TR1211,1159,1057.034649621901,Bank Transfer,Books,6,25,0,218,1,1
TR1212,1838,4909.567708799503,Credit Card,Clothing,8,63,1,74,23,0
TR1213,1698,3512.748134511926,PayPal,Electronics,5,35,1,78,3,0
TR1214,1242,2485.6472537658096,Credit Card,Home & Kitchen,2,50,1,131,23,1
TR1215,1085,2160.2936161114785,Debit Card,Books,7,47,1,176,14,1
TR1216,1795,4772.279431602007,Debit Card,Electronics,5,26,1,116,17,0
TR1217,1577,1036.566889373035,Bank Transfer,Clothing,2,69,0,136,0,1
TR1218,1681,1565.299451661347,Credit Card,Home & Kitchen,6,28,0,138,0,0
TR1219,1556,1545.8858501841444,Credit Card,Home & Kitchen,7,21,1,163,4,1
TR1220,1573,1452.1416103249726,PayPal,Electronics,8,19,0,211,4,1
TR1221,1952,2348.004845626289,Credit Card,Electronics,3,44,0,333,18,1
TR1222,1645,4946.0043740064875,Credit Card,Clothing,4,35,1,88,2,0
TR1223,1795,4445.045965913925,PayPal,Electronics,6,54,0,319,10,1
TR1224,1027,1646.4683459242158,Bank Transfer,Home & Kitchen,3,51,0,51,14,1
TR1225,1619,2120.121877493387,PayPal,Home & Kitchen,6,28,1,192,4,1
TR1226,1555,3350.7089244657973,Debit Card,Home & Kitchen,9,19,1,240,16,0
TR1227,1339,95.58688667610437,Credit Card,Home & Kitchen,5,48,0,287,20,0
TR1228,1797,4102.566756841383,Credit Card,Electronics,2,61,0,201,22,0
TR1229,1957,4400.1923059864785,Bank Transfer,Electronics,2,42,1,49,15,0
TR1230,1330,4287.429668279425,Debit Card,Books,7,59,1,202,7,0
TR1231,1639,1881.5213905588255,Credit Card,Clothing,4,36,1,219,22,1
TR1232,1505,2315.3775417473985,PayPal,Electronics,9,49,1,218,14,1
TR1233,1347,71.81772629974158,Credit Card,Clothing,9,53,1,126,14,1
TR1234,1472,2002.9827867373185,Bank Transfer,Electronics,6,24,0,110,7,0
TR1235,1230,2307.5298436093412,PayPal,Books,5,31,0,261,4,0
TR1236,1189,4535.801722411708,Credit Card,Electronics,7,62,0,134,7,0
TR1237,1224,4470.998492048665,Bank Transfer,Home & Kitchen,5,18,1,85,0,1
TR1238,1384,4830.824349798669,Debit Card,Electronics,9,69,1,41,16,0
TR1239,1376,4426.673875601697,PayPal,Clothing,9,50,0,143,18,1
TR1240,1282,50.921540043951616,PayPal,Home & Kitchen,7,51,1,111,2,1
TR1241,1957,3210.8896531377763,Debit Card,Electronics,4,33,0,176,17,1
TR1242,1632,350.5060386841736,PayPal,Home & Kitchen,1,48,0,83,10,0
TR1243,1627,1370.245489036127,Bank Transfer,Home & Kitchen,4,19,0,354,21,0
TR1244,1972,2895.755071058196,Debit Card,Home & Kitchen,3,29,0,50,6,0
TR1245,1744,3506.062953853619,Credit Card,Books,1,36,0,217,13,0
TR1246,1258,3276.6138093263053,Bank Transfer,Clothing,4,32,1,237,14,0
TR1247,1358,254.80125336912968,Debit Card,Clothing,7,33,0,163,9,1
TR1248,1709,526.9833091520646,Credit Card,Electronics,2,33,0,344,15,1
TR1249,1455,651.6481965270542,Bank Transfer,Home & Kitchen,7,45,1,119,20,1
TR1250,1410,466.15774008075863,Bank Transfer,Electronics,6,28,1,308,9,0
TR1251,1648,899.3897721139181,PayPal,Clothing,9,23,0,130,10,0
TR1252,1317,3445.5540786446813,PayPal,Home & Kitchen,2,44,0,83,14,1
TR1253,1676,4155.877883284173,Debit Card,Clothing,6,34,0,142,19,0
TR1254,1224,2049.9813114663175,Credit Card,Home & Kitchen,6,56,0,157,1,1
TR1255,1818,3466.9797170774345,Bank Transfer,Home & Kitchen,6,28,0,150,6,1
TR1256,1233,1008.0811437164742,Bank Transfer,Books,3,30,0,47,19,1
TR1257,1683,4866.667956650706,Debit Card,Home & Kitchen,6,65,1,327,17,0
TR1258,1663,1756.4876390595155,PayPal,Electronics,9,30,1,242,12,0
TR1259,1974,4230.875861962127,Bank Transfer,Clothing,3,25,0,151,22,1
TR1260,1826,4727.378199420641,Bank Transfer,Clothing,2,42,1,205,13,1
TR1261,1373,4324.922674747758,PayPal,Clothing,8,58,0,170,9,0
TR1262,1671,344.6675811860418,Credit Card,Home & Kitchen,3,54,0,313,22,1
TR1263,1607,3255.032714963208,Credit Card,Electronics,5,31,0,299,7,0
TR1264,1471,609.2526257920405,PayPal,Books,5,38,0,251,3,1
TR1265,1232,38.2583726237256,Bank Transfer,Books,2,60,1,149,1,0
TR1266,1691,268.3993852759065,PayPal,Electronics,2,61,0,256,15,0
TR1267,1112,4581.584490270816,Credit Card,Electronics,6,37,0,332,1,0
TR1268,1829,4543.232936159365,Debit Card,Electronics,2,37,1,338,18,1
TR1269,1496,1136.8636949425286,Debit Card,Home & Kitchen,6,59,0,262,10,1
TR1270,1441,2739.835461845145,Credit Card,Home & Kitchen,7,44,1,198,17,1
TR1271,1563,4775.591028706972,Credit Card,Books,4,50,1,69,17,1
TR1272,1267,2488.563587186845,Credit Card,Electronics,4,48,1,51,10,0
TR1273,1509,1973.9533225273321,PayPal,Electronics,3,33,1,192,1,1
TR1274,1806,2421.4109832826766,Debit Card,Clothing,1,24,1,259,18,0
TR1275,1385,3953.1766501442016,Credit Card,Books,4,33,1,106,20,0
TR1276,1386,2391.615386340844,Bank Transfer,Home & Kitchen,3,63,1,38,16,1
TR1277,1112,3918.555629599024,Debit Card,Electronics,8,21,0,106,1,0
TR1278,1612,2164.170253748255,PayPal,Home & Kitchen,5,20,0,175,11,0
TR1279,1624,1267.5082993448004,Bank Transfer,Clothing,7,47,0,338,15,1
TR1280,1951,1639.098921794917,PayPal,Electronics,3,36,0,102,14,0
TR1281,1080,398.33908853945803,Credit Card,Home & Kitchen,3,44,1,165,6,1
TR1282,1698,2491.931910602289,Credit Card,Home & Kitchen,6,46,1,360,4,1
TR1283,1112,749.0735151962248,Credit Card,Books,4,66,0,328,19,1
TR1284,1001,4059.619561610317,Bank Transfer,Home & Kitchen,8,61,0,157,3,1
TR1285,1641,2108.746965042902,Credit Card,Home & Kitchen,3,34,1,121,16,0
TR1286,1219,3827.3615967186984,Debit Card,Home & Kitchen,5,18,0,189,7,0
TR1287,1565,4772.757533417781,Credit Card,Home & Kitchen,1,38,1,304,21,0
TR1288,1854,4248.894969069048,Debit Card,Clothing,1,50,1,292,8,0
TR1289,1996,4757.80376193164,Bank Transfer,Home & Kitchen,8,42,0,181,23,1
TR1290,1735,2844.003269084944,PayPal,Books,7,28,0,308,7,0
TR1291,1224,834.9689255629039,PayPal,Clothing,1,52,0,164,8,0
TR1292,1384,4677.625811376666,Debit Card,Clothing,6,53,1,133,9,0
TR1293,1402,4343.836909077887,Bank Transfer,Home & Kitchen,2,56,0,197,11,0
TR1294,1637,4323.420825423973,Debit Card,Electronics,1,67,0,364,10,1
TR1295,1129,3469.439392769505,Credit Card,Home & Kitchen,5,45,1,108,0,1
TR1296,1052,3128.3321483085365,Credit Card,Clothing,5,37,0,229,3,1
TR1297,1683,83.47222038804416,Credit Card,Home & Kitchen,2,56,1,230,15,1
TR1298,1729,3742.7898047497,PayPal,Books,5,60,1,130,16,0
TR1299,1671,466.76023623920065,Debit Card,Books,7,42,0,273,21,1
TR1300,1709,1306.1571711518534,Bank Transfer,Books,4,63,1,307,17,0
TR1301,1415,2761.936573803171,Debit Card,Home & Kitchen,2,25,0,178,15,1
TR1302,1246,2264.145598531448,Debit Card,Home & Kitchen,5,49,0,43,13,1
TR1303,1835,88.71420495951536,Debit Card,Clothing,6,37,0,51,22,0
TR1304,1438,4121.685441674044,Credit Card,Clothing,8,65,1,190,13,1
TR1305,1202,4395.216780848773,Credit Card,Clothing,9,67,0,107,9,0
TR1306,1183,3412.5459880488665,Debit Card,Electronics,8,61,1,143,15,0
TR1307,1122,2709.9286146975437,Credit Card,Books,7,58,0,280,13,0
TR1308,1400,4804.081816108363,PayPal,Electronics,9,37,1,243,3,0
TR1309,1766,608.5814766634777,Credit Card,Electronics,9,26,1,247,13,0
TR1310,1293,3692.1711677882954,PayPal,Books,6,30,1,242,7,1
TR1311,1279,650.5194583470372,PayPal,Electronics,3,55,0,172,12,0
TR1312,1836,1915.4055466278444,Debit Card,Home & Kitchen,8,39,0,232,3,0
TR1313,1883,2931.567700763184,Debit Card,Books,3,47,0,297,14,0
TR1314,1609,3688.067575616718,Credit Card,Electronics,1,54,1,35,2,0
TR1315,1197,28.543340357200115,Bank Transfer,Electronics,4,59,1,61,19,0
TR1316,1981,1310.383452995163,Debit Card,Electronics,9,40,0,309,5,1
TR1317,1906,2695.6199531350035,PayPal,Home & Kitchen,8,28,0,276,20,0
TR1318,1510,2669.03965901592,PayPal,Electronics,6,31,0,174,10,1
TR1319,1751,3191.7559103818576,Credit Card,Electronics,3,33,0,282,22,1
TR1320,1143,1526.22936853243,PayPal,Electronics,3,56,1,127,13,1
TR1321,1608,2707.240962933789,Debit Card,Clothing,7,45,1,117,14,1
TR1322,1200,957.0360193985362,Credit Card,Books,5,67,0,182,17,0
TR1323,1123,942.4923498732428,Credit Card,Electronics,3,57,1,153,5,0
TR1324,1186,2887.054177478808,Bank Transfer,Electronics,1,44,1,348,11,0
TR1325,1325,3430.508199376252,Credit Card,Books,9,63,0,308,8,0
TR1326,1463,610.7958337396268,Bank Transfer,Electronics,5,27,1,115,0,0
TR1327,1348,622.7216105020744,Debit Card,Home & Kitchen,7,63,1,202,19,1
TR1328,1770,2830.8604303876477,PayPal,Electronics,9,37,1,105,22,0
TR1329,1659,1357.7778038953913,Debit Card,Electronics,4,44,0,154,11,0
TR1330,1763,1968.0715201831608,Credit Card,Clothing,5,39,1,56,3,0
TR1331,1954,2009.7347537614137,Bank Transfer,Clothing,3,62,0,330,17,1
TR1332,1931,900.9787678317327,PayPal,Home & Kitchen,7,49,1,30,21,0
TR1333,1402,16.5600208188259,Credit Card,Books,1,49,1,66,3,1
TR1334,1345,4267.227531745347,Debit Card,Home & Kitchen,8,66,0,273,16,0
TR1335,1962,3577.8598247994646,Credit Card,Books,3,55,1,147,10,1
TR1336,1510,3455.787404996672,Bank Transfer,Electronics,4,64,1,332,10,1
TR1337,1146,2737.0606391854653,Debit Card,Clothing,4,57,0,307,3,1
TR1338,1147,3507.838576344821,Credit Card,Home & Kitchen,7,22,1,301,14,0
TR1339,1863,4679.085003962653,Bank Transfer,Home & Kitchen,7,57,0,296,23,0
TR1340,1710,3331.711943784163,Credit Card,Clothing,4,26,1,182,22,1
TR1341,1819,1332.8060956179752,Bank Transfer,Books,6,24,1,302,0,1
TR1342,1488,2857.0946581870808,Credit Card,Electronics,8,35,0,113,7,1
